doc,Abstract
29,"Background: Arab countries account for almost 6% of the global population, yet they make up only 5% of the total cases and less than 3% of the global death toll attributed to COVID-19. COVID-19 has put the health systems in the various Arab Countries and their ability to deliver healthcare services under tremendous strain. The capacity and stability of any health system is important in any type of response to the pandemic, in order to ensure an effective and efficient delivery of care to the public through COVID-19 and beyond. The objective of this study is to identify the various response of health systems in Arab Countries to COVID-19, and highlight the legal and health challenges faced during the pandemic. The study identified both gaps and good practices that may be utilized in order to guide the efforts in response to COVID-19 and the recovery efforts once the pandemic is over. Methods: To determine why the response of some health systems in Arab Countries responses are more effective than others, a three-step framework is adopted which includes, detection, containment, and treatment stages. In order to identify which countries are excelling at detection, containment, and treatment stages, several indicators were selected for each stage. To be able to understand the legal and health challenges of response to the COVID-19 pandemic, an analysis of the health systems, the resources in terms of quality and access, health workforce, and finance was conducted. Secondary data published by the Global Burden of Disease Study, and the Global Change Data Lab of the University of Oxford was used to study identified gaps and good practices to guide the responses to COVID-19 and recovery efforts once the pandemic is over. Results: The epidemiologic record demonstrates that that certain Arab countries are managing to control the pandemic, through a combination of mitigation strategies, suppression strategy and elimination strategy. There are several barriers and challenges in Arab health systems which have been amplified due to COVID-19 and if ignored may pose a further significant challenge in the future. Health systems in Arab countries are not sufficiently equipped to handle all healthcare needs related to COVID-19, in particular issues relating to administration, equity, finances, the supply side of healthcare, and usage of information technology. Conclusion: In Arab counties, the standard response to COVID-19 was enforced by new health laws, which consist of a combination of the traditional disease control measures (testing, contact-tracing, social distancing), population-based physical distancing (including stay-at-home orders, school and business closures, and social gathering bans), travel limits (including travel bans, and border closures), and economic support measures. Acceptable healthcare quality and access, sufficient health workforce, and sufficient funds are the most imperative needs in the health system in Arab counties to provide a sustainable response to the COVID-19 pandemic."
30,"The Private Sector Coalition against COVID-19 (CACOVID) was established on the 27th of March 2020 to mobilize private sector resources toward supporting the government's response to the COVID-19 pandemic. More specifically, CACOVID set out to provide leadership functions, raise public awareness, provide buy-in for COVID-19 prevention, and provide direct support to strengthen the health system's capacity to respond to the crisis. In this paper, we examine the contextual factors that shaped the private sector's engagement in the fight against the pandemic with a view to identifying progress and learning opportunities. A desk review of the existing literature and documents from relevant stakeholders (government, organized private sector, and civil society organizations) was carried out. Using both the Grindle and Thomas (1) and Husted and Salazar (2) frameworks, we identified individual characteristics (industry expertise and position, philanthropy, and personal/economic interest); the economic crises created by the pandemic; a weak health system; and the multi-sectoral nature of the response to the pandemic.as contextual factors that influenced public-private collaboration in tackling the COVID-19 pandemic in Nigeria. That is, the private sector collaborated with the government based on several interrelated contexts that confront them with issues they need to address; determine what options are feasible politically, economically, and administratively; set limits on what solutions are eventually considered; and respond to efforts to alter existing policies and institutional practices. The identified contextual factors provide learning opportunities for enhancing public-private partnership in advancing healthcare not just in Nigeria, but also in related countries in Africa and other developing countries."
31,"In this paper, a model predictive control approach is proposed for epidemic mitigation. The disease spreading dynamics is described by an 8-compartment smooth nonlinear model of the COVID-19 pandemic in Hungary known from the literature, where the manipulable control input is the stringency of the introduced non-pharmaceutical measures. It is assumed that only the number of hospitalized people is measured on-line, and the other state variables are computed using a state observer which is based on the dynamic inversion of a linear sub-system of the model. The objective function contains a measure of the direct harmful consequences of the restrictions, and the constraints refer to input bounds and to the capacity of the healthcare system. By exploiting the special properties of the model, the nonlinear optimization problem required by the control design is reformulated to convex tasks, allowing a computationally efficient solution. Two approaches are proposed: the first finds a suboptimal solution by geometric programming, while the second one further simplifies the problem and transforms it to a linear programming task. Simulations show that both suboptimal solutions fulfill the design specifications even in the presence of parameter uncertainties."
32,"The COVID-19 pandemic is the most serious health crisis of our time. Global public measures have been enacted to try to prevent healthcare systems from being overwhelmed. The trauma and orthopaedic (T&O) community has overcome challenges in order to continue to deliver acute trauma care to patients and plan for challenges ahead. This review explores the lessons learnt, the priorities and the controversies that the T&O community has faced during the crisis. Historically, the experience of major incidents in T&O has focused on mass casualty events. The current pandemic requires a different approach to resource management in order to create a long-term, system-sustaining model of care alongside a move towards resource balancing and facilitation. Significant limitations in theatre access, anaesthetists and bed capacity have necessitated adaptation. Strategic changes to trauma networks and risk mitigation allowed for ongoing surgical treatment of trauma. Outpatient care was reformed with the uptake of technology. The return to elective surgery requires careful planning, restructuring of elective pathways and risk management. Despite the hope that mass vaccination will lift the pressure on bed capacity and on bleak economic forecasts, the orthopaedic community must readjust its focus to meet the challenge of huge backlogs in elective caseloads before looking to the future with a robust strategy of integrated resilient pathways. The pandemic will provide the impetus for research that defines essential interventions and facilitates the implementation of strategies to overcome current barriers and to prepare for future crises."
33,"Coronavirus disease 2019 (COVID-19), caused by novel enveloped single stranded RNA coronavirus (SARS-CoV-2), is responsible for an ongoing global pandemic. While other countries deployed widespread testing as an early mitigation strategy, the U.S. experienced delays in development and deployment of organism identification assays. As such, there is uncertainty surrounding disease burden and community spread, severely hampering containment efforts. COVID-19 illuminates the need for a tiered diagnostic approach to rapidly identify clinically significant infections and reduce disease spread. Without the ability to efficiently screen patients, hospitals are overwhelmed, potentially delaying treatment for other emergencies. A multi-tiered, diagnostic strategy incorporating a rapid host immune response assay as a screening test, molecular confirmatory testing and rapid IgM/IgG testing to assess benefit from quarantine/further testing and provide information on population exposure/herd immunity would efficiently evaluate potential COVID-19 patients. Triaging patients within minutes with a fingerstick rather than hours/days after an invasive swab is critical to pandemic response as reliance on the existing strategy is limited by assay accuracy, time to results, and testing capacity. Early screening and triage is achievable from the outset of a pandemic with point-of-care host immune response testing which will improve response time to clinical and public health actions.Key messages Delayed testing deployment has led to uncertainty surrounding overall disease burden and community spread, severely hampering public health containment and healthcare system preparation efforts. A multi-tiered testing strategy incorporating rapid, host immune point-of-care tests can be used now and for future pandemic planning by effectively identifying patients at risk of disease thereby facilitating quarantine earlier in the progression of the outbreak during the weeks and months it can take for pathogen specific confirmatory tests to be developed, validated and manufactured in sufficient quantities. The ability to triage patients at the point of care and support the guidance of medical and therapeutic decisions, for viral isolation or confirmatory testing or for appropriate treatment of COVID-19 and/or bacterial infections, is a critical component to our national pandemic response and there is an urgent need to implement the proposed strategy to combat the current outbreak."
34,"Coronavirus (COVID-19) has rapidly spread across many countries in pandemic proportions since the first case was reported in Hubei, China in December 2019. Understanding transmission, susceptibility and exposure risks is crucial for surveillance, control and response to the disease. Knowing the geographic distribution of health resource scarcity areas is necessary if a country is to adequately anticipate and prepare for the full impact of infections. We explored the potential to undertake a spatial risk assessment of an emerging pandemic under data scarcity in Eswatini. We used a set of socio-economic and demographic variables to identify epidemic risk prone areas in the country. Three risk zone levels for COVID-19 were identified in the country. The analysis showed that about 29% (320 818) of the population were located in the high risk zone and these were people who could potentially be infected with COVID-19 in the absence of mitigation measures. A majority of cases and deaths attributed to COVID-19 would likely remain unknown but our estimate could be used to gauge the full burden of the disease. Approximating and quantifying the number of people who may be potentially infected with COVID19 remains impossible under data scarcity and limited healthcare capacity especially in sub-Saharan Africa. We provided an estimation method that could support the pandemic risk forecasting, preparedness and response measures in the midst of data scarcity. The resultant map products could be used to guide on-the-ground surveillance and response efforts."
35,"This article proposes a stochastic nonlinear model predictive controller to support policymakers in determining robust optimal nonpharmaceutical strategies to tackle the COVID-19 pandemic waves. First, a time-varying SIRCQTHE epidemiological model is defined to get predictions on the pandemic dynamics. A stochastic model predictive control problem is then formulated to select the necessary control actions (i.e., restrictions on the mobility for different socioeconomic categories) to minimize the socioeconomic costs. In particular, considering the uncertainty characterizing this decision-making process, we ensure that the capacity of the healthcare system is not violated in accordance with a chance constraint approach. The effectiveness of the presented method in properly supporting the definition of diversified nonpharmaceutical strategies for tackling the COVID-19 spread is tested on the network of Italian regions using real data. The proposed approach can be easily extended to cope with other countries' characteristics and different levels of the spatial scale."
36,"Introduction The COVID-19 pandemic is disrupting health systems globally. Maternity care disruptions have been surveyed, but not those related to vulnerable small newborns. We aimed to survey reported disruptions to small and sick newborn care worldwide and undertake thematic analysis of healthcare providers' experiences and proposed mitigation strategies. Methods Using a widely disseminated online survey in three languages, we reached out to neonatal healthcare providers. We collected data on COVID-19 preparedness, effects on health personnel and on newborn care services, including kangaroo mother care (KMC), as well as disruptors and solutions. Results We analysed 1120 responses from 62 countries, mainly low and middle-income countries (LMICs). Preparedness for COVID-19 was suboptimal in terms of guidelines and availability of personal protective equipment. One-third reported routine testing of all pregnant women, but 13% had no testing capacity at all. More than 85% of health personnel feared for their own health and 89% had increased stress. Newborn care practices were disrupted both due to reduced care-seeking and a compromised workforce. More than half reported that evidence-based interventions such as KMC were discontinued or discouraged. Separation of the mother-baby dyad was reported for both COVID-positive mothers (50%) and those with unknown status (16%). Follow-up care was disrupted primarily due to families' fear of visiting hospitals (-73%). Conclusion Newborn care providers are stressed and there is lack clarity and guidelines regarding care of small newborns during the pandemic. There is an urgent need to protect life-saving interventions, such as KMC, threatened by the pandemic, and to be ready to recover and build back better."
37,"BACKGROUND The coronavirus disease 2019 (COVID-19) pandemic has significantly disrupted the delivery of healthcare. Although most nonurgent ophthalmology visits at Boston Children's Hospital were canceled, premature infants at risk for retinopathy of prematurity (ROP) still required timely, in-person care during the initial 3-month period of the infection surge in Massachusetts. The purpose of the current study was to report our protocols for mitigating risk of exposure to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) between infants and eye care providers and to compare examination rates and results with the same 3-month period in 2019. METHODS During the infection surge, we added new infection control measures and strengthened existing ones. Additional personal protective equipment was used, and the number of ophthalmologists rotating in the three high-capacity NICUs we service was limited. RESULTS More infants required ROP examinations during the study period in 2020 than in the same period in 2019, but fewer examinations were performed. There were no cases of missed progression to severe ROP during this time and no known transmission of SARS-CoV-2 between ROP patients and ophthalmology staff. CONCLUSIONS Overall, effective ROP care was safely provided during the COVID-19 pandemic, and contact with this vulnerable population was minimized."
38,"During the first wave of the COVID-19 pandemic it emerged that the nature and magnitude of demand for mental health services was changing. Considerable increases were expected to follow initial lulls as treatment was sought for new and existing conditions following relaxation of 'lockdown' measures. For this to be managed by the various services that constitute a mental health system, it would be necessary to complement such projections with assessments of capacity, in order to understand the propagation of demand and the value of any consequent mitigations. This paper provides an account of exploratory modelling undertaken within a major UK healthcare system during the first wave of the pandemic, when actionable insights were in short supply and decisions were made under much uncertainty. In understanding the impact on post-lockdown operational performance, the objective was to evaluate the efficacy of two considered interventions against a baseline 'do nothing' scenario. In doing so, a versatile and purpose-built discrete time simulation model was developed, calibrated and used by a multi-disciplinary project working group. The solution, representing a multi-node, multi server queueing network with reneging, is implemented in open-source software and is freely and publicly available. (C) 2021 Elsevier Ltd. All rights reserved."
39,"The COVID-19 pandemic has heterogeneously affected use of basic health services worldwide, with disruptions in some countries beginning in the early stages of the emergency in March 2020. These disruptions have occurred on both the supply and demand sides of healthcare, and have often been related to resource shortages to provide care and lower patient turnout associated with mobility restrictions and fear of contracting COVID-19 at facilities. In this paper, we assess the impact of the COVID-19 pandemic on the use of maternal health services using a time series modelling approach developed to monitor health service use during the pandemic using routinely collected health information systems data. We focus on data from 37 non-governmental organisation-supported health facilities in Haiti, Lesotho, Liberia, Malawi, Mexico and Sierra Leone. Overall, our analyses indicate significant declines in first antenatal care visits in Haiti (18% drop) and Sierra Leone (32% drop) and facility-based deliveries in all countries except Malawi from March to December 2020. Different strategies were adopted to maintain continuity of maternal health services, including communication campaigns, continuity of community health worker services, human resource capacity building to ensure compliance with international and national guidelines for front-line health workers, adapting spaces for safe distancing and ensuring the availability of personal protective equipment. We employ a local lens, providing prepandemic context and reporting results and strategies by country, to highlight the importance of developing context-specific interventions to design effective mitigation strategies."
40,"Due to the lack of vaccines and treatments, filtering facepiece respirators are a primary and effective tool to dampen the spread of COVID-19. To meet the huge and continuous demand for filtering facepiece respirators, this concept paper suggests a supply chain management framework based on the disaster management principle. This concept paper adopts an exploratory and qualitative literature review to provide managerial insights for the supply chain participants. Due to implementation delay and strategic interdependency, the supply chain management strategies need to be systematically integrated. A viable way to integrate strategies is based on the disaster management cycle: mitigation, preparation, response, and recovery phases. Our model integrates innovative and successful but overlooked supply chain management strategies. First, the production capacity should be flexible so that the production mode in emergency and normal situations can be different. Second, the concept paper and development facilities can utilize their capacities for actual production in emergencies. Third, the quality certification process should accommodate the flexible production capacities. Fourth, inventory stockpiling should be renewable. This concept paper contributes to policymakers, healthcare sector decision-makers, stakeholders throughout the FFR supply chain to cope with future crises caused by pandemics by providing a systematic approach to constructing an effective, flexible, and resilient supply chain."
41,"Worldwide epidemics, such as corona virus disease 2019 (COVID-19), cause unprecedented challenges for society and its healthcare systems. Governments attempt to mitigate those challenges by either reducing healthcare demand (flattening the curve by imposing restrictions, e.g., on travel or social gatherings) or by increasing healthcare capacity, for example, by canceling elective procedures or setting up field hospitals. To implement these mitigation procedures efficiently, accurate and timely forecasts of the epidemic's progression are necessary. In this paper, we develop an innovative forecasting methodology based on the ideas of long short-term memory (LSTM) recurrent neural networks. LSTM models are shown to outperform traditional forecasting models, especially when the relationship between input and output is complex and not available in closed form. However, whereas LSTM models perform well for data that changes dynamically over time, one shortcoming is that they are not directly applicable when the data also includes static, nontemporal components. In this work, we propose an LSTM+ model that overcomes this limitation. Our model leverages a private partnership with a mobile data company in order to capture population mobility (using mobility indices derived from mobile device data), which allows us to anticipate an epidemic's spread early and accurately. In addition, we also leverage a public partnership with a consortium of hospitals. Using hospital admissions (rather than, say, positive caseload) results in an unbiased measure of the severity of an epidemic because patients seek and are admitted to hospital care only when symptoms worsen beyond a critical point. We illustrate the effectiveness of our method on forecasting COVID-19 for a major U.S. metropolitan area where it has aided decision makers of the emergency policy group. Our model improves the predictive accuracy of hospital admission by a factor of 2.5x as compared with competing models in the same analytical space."
42,"BackgroundThe emergence of SARS-CoV-2 triggered a chain of public health responses that radically changed our way of living and working. Non-healthcare sectors, such as the logistics sector, play a key role in such responses. This research aims to qualitatively evaluate the non-pharmaceutical interventions (NPIs) implemented in the UK logistics sector during the COVID-19 pandemic. MethodsWe conducted nine semi-structured interviews in July-August 2020 and May-June 2021. In total 11 interviewees represented six companies occupying a range of positions in the UK's logistics sector, including takeaway food delivery, large and small goods delivery and home appliance installation, and logistics technology providers. Thematic analysis was completed using NVivo12. Codes relevant to NPIs were grouped into themes and mapped deductively onto an adapted Hierarchy of Control (HoC) framework, focusing on delivery workers. Codes relevant to the implementation process of NPIs were grouped into themes/subthemes to identify key characteristics of rapid responses, and barriers and facilitators. ResultsHoC analysis suggests the sector has implemented a wide range of risk mitigation measures, with each company developing their own portfolio of measures. Contact-free delivery was the most commonly implemented measure and perceived effective. The other implemented measures included social distancing, internal contact tracing, communication and collaboration with other key stakeholders of the sector. Process evaluation identified facilitators of rapid responses including capacity to develop interventions internally, localized government support, strong external mandates, effective communication, leadership support and financial support for self-isolation, while barriers included unclear government guidance, shortage of testing capacity and supply, high costs and diversified language and cultural backgrounds. Main sustainability issues included compliance fatigue, and the possible mental health impacts of a prolonged rapid response. ConclusionsThis research identified drivers and obstacles of rapid implementation of NPIs in response to a respiratory infection pandemic. Existing implementation process models do not consider speed to respond and the absence or lack of guidance in emergency situations such as the COVID-19. We recommend the development of a rapid response model to inform the design of effective and sustainable infection prevention and control policies and to focus future research priorities."
43,"Background and Purpose: Anecdotal evidence suggests that the coronavirus disease 2019 (COVID-19) pandemic mitigation efforts may inadvertently discourage patients from seeking treatment for stroke with resultant increased morbidity and mortality. Analysis of regional data, while hospital capacities for acute stroke care remained fully available, offers an opportunity to assess this. We report regional Stroke Team acute activations and reperfusion treatments during COVID-19 mitigation activities. Methods: Using case log data prospectively collected by a Stroke Team exclusively serving approximate to 2 million inhabitants and 30 healthcare facilities, we retrospectively reviewed volumes of consultations and reperfusion treatments for acute ischemic stroke. We compared volumes before and after announcements of COVID-19 mitigation measures and the prior calendar year. Results: Compared with the 10 weeks prior, stroke consultations declined by 39% (95% CI, 32%-46%) in the 5 weeks after announcement of statewide school and restaurant closures in Ohio, Kentucky, and Indiana. Results compared with the prior year and time trend analyses were consistent. Reperfusion treatments also appeared to decline by 31% (95% CI, 3%-51%), and specifically thrombolysis by 33% (95% CI, 4%-55%), but this finding had less precision. Conclusions: Upon the announcement of measures to mitigate COVID-19, regional acute stroke consultations declined significantly. Reperfusion treatment rates, particularly thrombolysis, also appeared to decline qualitatively, and this finding requires further study. Urgent public education is necessary to mitigate a possible crisis of avoiding essential emergency care due to COVID-19."
44,"The mathematical interpretation of interventions for the mitigation of epidemics in the literature often involves finding the optimal time to initiate an intervention and/or the use of the number of infections to manage impact. Whilst these methods may work in theory, in order to implement effectively they may require information which is not likely to be available in the midst of an epidemic, or they may require impeccable data about infection levels in the community. In reality, testing and cases data can only be as good as the policy of implementation and the compliance of the individuals, which implies that accurately estimating the levels of infections becomes difficult or complicated from the data that is provided. In this paper, we demonstrate a different approach to the mathematical modelling of interventions, not based on optimality or cases, but based on demand and capacity of hospitals who have to deal with the epidemic on a day to day basis. In particular, we use data-driven modelling to calibrate a susceptible-exposed-infectious-recovered-died type model to infer parameters that depict the dynamics of the epidemic in several regions of the UK. We use the calibrated parameters for forecasting scenarios and understand, given a maximum capacity of hospital healthcare services, how the timing of interventions, severity of interventions, and conditions for the releasing of interventions affect the overall epidemic-picture. We provide an optimisation method to capture when, in terms of healthcare demand, an intervention should be put into place given a maximum capacity on the service. By using an equivalent agent-based approach, we demonstrate uncertainty quantification on the likelihood that capacity is not breached, by how much if it does, and the limit on demand that almost guarantees capacity is not breached."
45,"The first coronavirus disease 2019 (COVID-19) outbreak in Daegu city was overcome by efforts, including; 1) prompt isolation and quarantine action by local government with cooperative help from expert groups and the central government, 2) high-intensity social distancing and active cooperation of citizens, 3) admission of asymptomatic and mild patients in `residential treatment centers', and 4) use of a telephone scoring system for the allocation of patients, with a mortality rate of 2.5%. A continuous suppression policy with test, tracing, and treatment (3 Ts) was implemented as an active response to the initial outbreaks in Korea. With the introduction of vaccines and therapeutic agents, the COVID-19 crisis had improved. Recently, the omicron variant was responsible for most domestic outbreaks, albeit with a low mortality rate (0.1%). Since the omicron outbreak, a damage mitigation policy has been implemented, focusing on protecting vulnerable groups. In the future, preparation including below are needed; 1) improving the national public health emergency response system, 2) strengthening the crisis response capacity of local governments, 3) cooperation between public healthcare and private healthcare, and 4) establishing a resilient medical response system."
46,"Aim: This study investigates the non-medical public health and surveillance policies and actions for tackling the community spread of COVID-19 pandemic in Denmark, Serbia and Sweden during the first five months of the pandemic in 2020. Method: The study is inspired by a process-tracing design for case study with a focus on the non-medical measures and surveillance strategies implemented by the three countries. The comprehensive collection and study of national documents formed the basis of the document analysis. Results: The Danish strategy was to prolong the transmission period, preventing high numbers of infected cases from impacting their healthcare capacity. The government's strategy was characterized by strict governance elements, health guidelines and behavioural recommendations. In Serbia, the main strategy was to prevent the spread and control of the infectious disease by shifting all human and material resources towards the function of controlling the spread. Serbia applied the strictest measures in the fight against coronavirus in relation to other countries in the region and in Europe. The Swedish strategy focused more on recommendations than requirements to motivate the public to modify their behaviours voluntarily. Sweden's loose pandemic strategy implementation focused on voluntary and stepwise action rather than legislation and compulsory measures. Conclusions: The public health policies and actions implemented to prevent community spread of COVID-19 in Denmark, Serbia and Sweden varied during the first five months of the pandemic. The differences in their response were due to delays in implementation, inconsistencies in perspectives towards the outbreak and the capacity of each country in terms of their pandemic preparedness and response."
47,"The flatten the curve graphic has recently become a common tool to visualize the extent to which pandemic suppression and mitigation measures could potentially reduce and delay the number of daily infections due to a pandemic. The COVID-19 pandemic has challenged the capacity of the many healthcare systems and created cascading economic impacts on interdependent sectors of the global society. This paper specifically explores the impact of pandemics on the workforce. The model proposed in this paper comprises of three major steps. First, sources for epidemic curves are identified to generate the attack rate, which is the daily number of infections normalized with respect to the population of the affected region. Second, the model assumes that the general attack rate can be specialized to reflect sector-specific workforce classifications, noting that each economic sector has varying dependence on the workforce. Third, using economic input-output (IO) data from the US Bureau of Economic Analysis, this paper analyzes the performance of several mitigation and suppression measures relative to a baseline pandemic scenario. Results from the IO simulations demonstrate the extent to which mitigation and suppression measures can flatten the curve. This paper concludes with reflections on other consequences of pandemics such as the mental health impacts associated with social isolation and the disproportionate effects on different socioeconomic groups. (C) 2020 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved."
48,"Blaine County, Idaho, a rural area with a renowned resort, experienced a COVID-19 outbreak early in the pandemic. We undertook an epidemiologic investigation to describe the outbreak and guide public health action. Confirmed cases of COVID-19 were identified from reports of SARS-CoV-2-positive laboratory test results to South Central Public Health District. Information on symptoms, hospitalization, recent travel, healthcare worker status, and close contacts was obtained by medical record review and patient interviews. Viral sequence analysis was conducted on a subset of available specimens. During March 13-April 10, 2020, a total of 451 COVID-19 cases among Blaine County residents (1,959 cases per 100,000 population) were reported, with earliest illness onset March 1. The median patient age was 51 years (interquartile range [IQR]: 37-63), 52 (11.5%) were hospitalized, and 5 (1.1%) died. The median duration between specimen collection and a positive laboratory result was 9 days (IQR: 4-10). Forty-four (9.8%) patients reported recent travel and an additional 37 cases occurred in out-of-state residents. Healthcare workers comprised 56 (12.4%) cases; 33 of whom worked at the only hospital in the county, leading to a 15-day disruption of hospital services. Among 562 close contacts monitored by public health authorities, laboratory-confirmed COVID-19 or compatible symptoms were identified in 51 (9.1%). Sequencing results from 34 specimens supported epidemiologic findings indicating travel as a source of SARS-CoV-2, and identified multiple lineages among hospital workers. Community mitigation strategies included school and resort closure, stay-at-home orders, and restrictions on incoming travelers. COVID-19 outbreaks in rural communities can disrupt health services. Lack of local laboratory capacity led to long turnaround times for COVID-19 test results. Rural communities frequented by tourists face unique challenges during the COVID-19 pandemic. Implementing restrictions on incoming travelers and other mitigation strategies helped reduce COVID-19 transmission early in the pandemic."
49,"Background In countries with high COVID-19 vaccination rates the SARS-CoV-2 Delta variant resulted in rapidly increasing case numbers. This study evaluated the use of non-pharmaceutical interventions (NPIs) coupled with alternative vaccination strategies to determine feasible Delta mitigation strategies for Australia. We aimed to understand the potential effectiveness of high vaccine coverage levels together with NPI physical distancing activation and to establish the benefit of adding children and adolescents to the vaccination program. Border closure limited SARS-CoV-2 transmission in Australia; however, slow vaccination uptake resulted in Delta outbreaks in the two largest cities and may continue as international travel increases. Methods An agent-based model was used to evaluate the potential reduction in the COVID-19 health burden resulting from alternative vaccination strategies. We assumed immunity was derived from vaccination with the BNT162b2 Pfizer BioNTech vaccine. Two age-specific vaccination strategies were evaluated, ages 5 and above, and 12 and above, and the health burden determined under alternative vaccine coverages, with/without activation of NPIs. Age-specific infections generated by the model, together with recent UK data, permitted reductions in the health burden to be quantified. Results Cases, hospitalisations and deaths are shown to reduce by (i) increasing coverage to include children aged 5 to 11 years, (ii) activating moderate NPI measures and/or (iii) increasing coverage levels above 80%. At 80% coverage, vaccinating ages 12 and above without NPIs is predicted to result in 1095 additional hospitalisations per million population; adding ages 5 and above reduces this to 996 per million population. Activating moderate NPIs reduces hospitalisations to 611 for ages 12 and over, and 382 per million for ages 5 and above. Alternatively, increasing coverage to 90% for those aged 12 and above is estimated to reduce hospitalisations to 616. Combining all three measures is shown to reduce cases to 158, hospitalisations to 1 and deaths to zero, per million population. Conclusions Delta variant outbreaks may be managed by vaccine coverage rates higher than 80% and activation of moderate NPI measures, preventing healthcare facilities from being overwhelmed. If 90% coverage cannot be achieved, including young children and adolescents in the vaccination program coupled with activation of moderate NPIs appears necessary to suppress future COVID-19 Delta-like transmission and prevent intensive care unit surge capacity from being exceeded."
50,"BackgroundDuring an evolving outbreak or pandemic, non-pharmaceutical interventions (NPIs) including physical distancing, isolation, and mask use may flatten the peak in communities. However, these strategies rely on community understanding and motivation to engage to ensure appropriate compliance and impact. To support current activities for COVID-19, the objectives of this narrative review was to identify the key determinants impacting on engagement.MethodsAn integrative narrative literature review focused on NPIs. We aimed to identify published peer-reviewed articles that focused on the general community (excluding healthcare workers), NPIs (including school closure, quarantine, isolation, physical distancing and hygiene behaviours), and factors/characteristics (including social, physical, psychological, capacity, motivation, economic and demographic) that impact on engagement.ResultsThe results revealed that there are a range of demographic, social and psychological factors underpinning engagement with quarantine, school closures, and personal protective behaviours. Aside from the factors impacting on acceptance and compliance, there are several key community concerns about their use that need to be addressed including the potential for economic consequences.ConclusionIt is important that we acknowledge that these strategies will have an impact on an individual and the community. By understanding the barriers, we can identify what strategies need to be adopted to motivate individuals and improve community compliance. Using a behavioural framework to plan interventions based on these key barriers, will also ensure countries implement appropriate and targeted responses."
51,"What started as a cluster of patients with a mysterious respiratory illness in Wuhan, China, in December 2019, was later determined to be coronavirus disease 2019 (COVID-19). The pathogen severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a novel Betacoronavirus, was subsequently isolated as the causative agent. SARS-CoV-2 is transmitted by respiratory droplets and fomites and presents clinically with fever, fatigue, myalgias, conjunctivitis, anosmia, dysgeusia, sore throat, nasal congestion, cough, dyspnea, nausea, vomiting, and/or diarrhea. In most critical cases, symptoms can escalate into acute respiratory distress syndrome accompanied by a runaway inflammatory cytokine response and multiorgan failure. As of this article's publication date, COVID-19 has spread to approximately 200 countries and territories, with over 4.3 million infections and more than 290,000 deaths as it has escalated into a global pandemic. Public health concerns mount as the situation evolves with an increasing number of infection hotspots around the globe. New information about the virus is emerging just as rapidly. This has led to the prompt development of clinical patient risk stratification tools to aid in determining the need for testing, isolation, monitoring, ventilator support, and disposition. COVID-19 spread is rapid, including imported cases in travelers, cases among close contacts of known infected individuals, and community-acquired cases without a readily identifiable source of infection. Critical shortages of personal protective equipment and ventilators are compounding the stress on overburdened healthcare systems. The continued challenges of social distancing, containment, isolation, and surge capacity in already stressed hospitals, clinics, and emergency departments have led to a swell in technologically-assisted care delivery strategies, such as telemedicine and web-based triage. As the race to develop an effective vaccine intensifies, several clinical trials of antivirals and immune modulators are underway, though no reliable COVID-19-specific therapeutics (inclusive of some potentially effective single and multi-drug regimens) have been identified as of yet. With many nations and regions declaring a state of emergency, unprecedented quarantine, social distancing, and border closing efforts are underway. Implementation of social and physical isolation measures has caused sudden and profound economic hardship, with marked decreases in global trade and local small business activity alike, and full ramifications likely yet to be felt. Current state-of-science, mitigation strategies, possible therapies, ethical considerations for healthcare workers and policymakers, as well as lessons learned for this evolving global threat and the eventual return to a new normal are discussed in this article."
52,"To deny the SARS-CoV-2 virus easy options for sustained transmission, commanders should model adherence to, and ensure implementation of, social mitigation measures. While some measures can be achieved at the organisational level through policy, every Service person's experience of the COVID-19 pandemic will have differed, affected by a range of personal, occupational and geographical factors. A successful recovery phase for each Service personnel (SP) therefore relies on localised assessments and individualised support plans. The return of SP to the physical environment must be safe, and the financial needs of their whole family must be considered. Commanders must understand the need for balance in supporting social reconnection both personally and in the workplace. Commanders have an important role in the development of SPs' mental resilience; supporting mental well-being, early recognition of deteriorating mental health and signposting, and compassionate understanding of the needs of SP deployed or bereaved. Disruptions to healthcare service provision will impact the duration of medical downgrading, workforce capacity and operational effectiveness according to extant parameters, which must be understood by commanders. Likewise, functional fitness may have been adversely affected. Physical health and fitness recovery can be supported by time-based extensions to occupational health policy and graduated return to work physical training programmes."
